disasterNumber,zip_counts,totalDamage,validRegistrations,totalInspected,approvedForFemaAssistance,disasterLength
1527,403,34338736.94,88675,85562,35687,19 days
1530,54,11973156.36,5435,5099,4146,11 days
1536,63,2089258.01,612,578,506,41 days
1538,105,9602198.77,9621,9025,5984,29 days
1539,574,420063546.99,254004,174709,115319,19 days
1541,6,7647737.05,5197,4950,3974,5 days
1544,78,8934404.89,4599,3988,3252,9 days
1545,1076,611961075.61,430481,315396,226448,35 days
1546,225,33010062.66,12615,11481,7777,5 days
1548,94,2710956.25,8903,7834,3019,13 days
1549,673,254716178.05,157566,127840,88752,17 days
1550,68,8583945.33,9756,7961,4523,7 days
1551,624,450286705.82,137734,99820,78455,65 days
1552,204,282925588.91,194398,187759,159897,5 days
1553,183,23010698.56,6653,5055,3971,7 days
1554,149,5498601.53,2458,1864,1298,46 days
1555,140,4965384.97,1348,1172,951,1 days
1556,274,29919162.42,8095,7311,6084,31 days
1557,1147,135012036.0,33861,30323,25009,14 days
1558,174,27226360.27,6644,6010,4792,11 days
1561,903,616488803.26,340218,255357,178964,54 days
1563,50,3187622.86,673,564,457,13 days
1564,150,1975264.03,7921,7543,2198,34 days
1565,107,2491449.5,1026,796,536,8 days
1566,204,7359964.9,10048,9249,4396,35 days
1569,64,6618533.85,1675,1526,1363,13 days
1570,58,2091316.93,922,799,661,3 days
1573,415,12885079.9,13356,11198,9402,41 days
1577,620,20857293.31,25774,22819,10906,15 days
1580,384,10650632.14,12476,10482,8126,41 days
1582,1,3605064.02,382,378,357,6 days
1587,172,9754406.08,2287,2087,1495,21 days
1588,130,7865906.68,1715,1610,1010,2 days
1589,223,10935356.64,2969,2642,2052,2 days
1593,80,4523221.15,11727,9744,4451,6 days
1595,96,26924559.43,37463,31374,21086,13 days
1599,3,2181701.63,219,164,72,0 days
1603,724,4146438701.22,1055899,699404,732622,64 days
1604,536,2196142940.72,503076,385406,271869,46 days
1605,228,122344904.39,109809,90276,55341,28 days
1606,574,330226294.7,468264,315419,250757,21 days
1607,439,541383187.8,309712,240589,175716,39 days
1609,486,552753109.54,563753,417224,226878,26 days
1610,79,2618623.87,636,499,376,11 days
1612,18,11890955.87,1034,598,238,0 days
1614,225,4786183.84,2125,1885,1526,9 days
1617,8,2758124.57,368,221,109,0 days
1623,130,11167109.7,718,403,195,124 days
1624,65,114966357.32000001,411,273,160,168 days
1628,227,11562160.67,4662,3796,2156,17 days
1631,164,10177057.64,2023,1099,436,5 days
1633,28,2749408.48,1604,1047,513,2 days
1634,73,10251003.44,1791,904,385,6 days
1635,36,11629804.22,1535,1160,717,4 days
1636,44,5836480.38,1010,609,335,2 days
1637,7,1805595.6099999999,129,91,53,0 days
1640,40,1326996.31,524,400,214,41 days
1642,124,23240975.98,10429,9689,8233,11 days
1643,131,11516733.6,5571,5100,4418,11 days
1644,35,1166347.39,1124,962,581,10 days
1649,463,37486805.97,11375,10167,8134,17 days
1650,296,52042045.72,13293,11543,9297,14 days
1651,130,12155827.0,11904,11172,5784,2 days
1653,23,2511710.57,591,527,325,17 days
1656,32,13355653.89,6035,5587,4011,8 days
1658,30,5916085.88,5434,4696,1969,29 days
1659,43,2188798.8899999997,1361,1240,569,54 days
1662,36,15632886.629999999,5922,5580,4209,2 days
1664,39,10486431.4,4008,3579,2635,92 days
1665,95,11163368.48,19982,9862,8120,13 days
1668,115,9133915.55,3565,3262,1733,23 days
1670,32,3362816.88,1271,1103,936,1 days
1671,210,9570529.53,2172,1792,1012,9 days
1679,47,10923984.94,2273,1124,516,1 days
1680,12,2070397.8800000001,287,229,130,0 days
1685,35,3767210.2,1253,969,266,1 days
1686,26,3593906.15,1614,906,311,1 days
1687,56,5693046.29,1721,1043,340,0 days
1690,5,1914154.74,588,411,200,1 days
1692,243,17053345.84,8358,7804,5214,4 days
1693,143,2458976.9,2473,1935,1185,8 days
1694,356,38460747.08,15303,14437,9840,6 days
1695,133,4908391.100000001,1849,1674,1198,8 days
